Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Access Type,Source,EID
"Gasparrini, A., Guo, Y., Hashizume, M., Lavigne, E., Zanobetti, A., Schwartz, J., Tobias, A., Tong, S., Rocklöv, J., Forsberg, B., Leone, M., De Sario, M., Bell, M.L., Guo, Y.-L.L., Wu, C.-F., Kan, H., Yi, S.-M., De Sousa Zanotti Stagliorio Coelho, M., Saldiva, P.H.N., Honda, Y., Kim, H., Armstrong, B.","Mortality risk attributable to high and low ambient temperature: A multicountry observational study",2015,"The Lancet",386,9991,,369,375,,234,10.1016/S0140-6736(14)62114-0,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84937966469&partnerID=40&md5=5b9f4d93bea02d024e0f46a781ceece5",Article,Open Access,Scopus,2-s2.0-84937966469
"Le Quéré, C., Moriarty, R., Andrew, R.M., Canadell, J.G., Sitch, S., Korsbakken, J.I., Friedlingstein, P., Peters, G.P., Andres, R.J., Boden, T.A., Houghton, R.A., House, J.I., Keeling, R.F., Tans, P., Arneth, A., Bakker, D.C.E., Barbero, L., Bopp, L., Chang, J., Chevallier, F., Chini, L.P., Ciais, P., Fader, M., Feely, R.A., Gkritzalis, T., Harris, I., Hauck, J., Ilyina, T., Jain, A.K., Kato, E., Kitidis, V., Klein Goldewijk, K., Koven, C., Landschützer, P., Lauvset, S.K., Lefèvre, N., Lenton, A., Lima, I.D., Metzl, N., Millero, F., Munro, D.R., Murata, A., S. Nabel, J.E.M., Nakaoka, S., Nojiri, Y., O'Brien, K., Olsen, A., Ono, T., Pérez, F.F., Pfeil, B., Pierrot, D., Poulter, B., Rehder, G., Rödenbeck, C., Saito, S., Schuster, U., Schwinger, J., Séférian, R., Steinhoff, T., Stocker, B.D., Sutton, A.J., Takahashi, T., Tilbrook, B., Van Der Laan-Luijkx, I.T., Van Der Werf, G.R., Van Heuven, S., Vandemark, D., Viovy, N., Wiltshire, A., Zaehle, S., Zeng, N.","Global Carbon Budget 2015",2015,"Earth System Science Data",7,2,,349,396,,225,10.5194/essd-7-349-2015,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84949804070&partnerID=40&md5=653f90c1df40aae5261532aecb833b1c",Article,Open Access,Scopus,2-s2.0-84949804070
"Le Quéré, C., Moriarty, R., Andrew, R.M., Peters, G.P., Ciais, P., Friedlingstein, P., Jones, S.D., Sitch, S., Tans, P., Arneth, A., Boden, T.A., Bopp, L., Bozec, Y., Canadell, J.G., Chini, L.P., Chevallier, F., Cosca, C.E., Harris, I., Hoppema, M., Houghton, R.A., House, J.I., Jain, A.K., Johannessen, T., Kato, E., Keeling, R.F., Kitidis, V., Klein Goldewijk, K., Koven, C., Landa, C.S., Landschützer, P., Lenton, A., Lima, I.D., Marland, G., Mathis, J.T., Metzl, N., Nojiri, Y., Olsen, A., Ono, T., Peng, S., Peters, W., Pfeil, B., Poulter, B., Raupach, M.R., Regnier, P., Rödenbeck, C., Saito, S., Salisbury, J.E., Schuster, U., Schwinger, J., Séférian, R., Segschneider, J., Steinhoff, T., Stocker, B.D., Sutton, A.J., Takahashi, T., Tilbrook, B., Van Der Werf, G.R., Viovy, N., Wang, Y.-P., Wanninkhof, R., Wiltshire, A., Zeng, N.","Global carbon budget 2014",2015,"Earth System Science Data",7,1,,47,85,,212,10.5194/essd-7-47-2015,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84929324791&partnerID=40&md5=79c7b6266d9b1043631262add46f6c2f",Article,Open Access,Scopus,2-s2.0-84929324791
"Laskin, A., Laskin, J., Nizkorodov, S.A.","Chemistry of Atmospheric Brown Carbon",2015,"Chemical Reviews",115,10,,4335,4382,,162,10.1021/cr5006167,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84930640489&partnerID=40&md5=6c8f1614d319a0d8dd85034c4e60822a",Review,Open Access,Scopus,2-s2.0-84930640489
"Le Quéré, C., Andrew, R.M., Canadell, J.G., Sitch, S., Ivar Korsbakken, J., Peters, G.P., Manning, A.C., Boden, T.A., Tans, P.P., Houghton, R.A., Keeling, R.F., Alin, S., Andrews, O.D., Anthoni, P., Barbero, L., Bopp, L., Chevallier, F., Chini, L.P., Ciais, P., Currie, K., Delire, C., Doney, S.C., Friedlingstein, P., Gkritzalis, T., Harris, I., Hauck, J., Haverd, V., Hoppema, M., Klein Goldewijk, K., Jain, A.K., Kato, E., Körtzinger, A., Landschützer, P., Lefèvre, N., Lenton, A., Lienert, S., Lombardozzi, D., Melton, J.R., Metzl, N., Millero, F., Monteiro, P.M.S., Munro, D.R., Nabel, J.E.M.S., Nakaoka, S.-I., O'Brien, K., Olsen, A., Omar, A.M., Ono, T., Pierrot, D., Poulter, B., Rödenbeck, C., Salisbury, J., Schuster, U., Schwinger, J., Séférian, R., Skjelvan, I., Stocker, B.D., Sutton, A.J., Takahashi, T., Tian, H., Tilbrook, B., Van Der Laan-Luijkx, I.T., Van Der Werf, G.R., Viovy, N., Walker, A.P., Wiltshire, A.J., Zaehle, S.","Global Carbon Budget 2016",2016,"Earth System Science Data",8,2,,605,649,,134,10.5194/essd-8-605-2016,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84995791034&partnerID=40&md5=7fad65aacbbbb516c8022f2f1746a91b",Article,Open Access,Scopus,2-s2.0-84995791034
"Cuéllar-Franca, R.M., Azapagic, A.","Carbon capture, storage and utilisation technologies: A critical analysis and comparison of their life cycle environmental impacts",2015,"Journal of CO2 Utilization",9,,,82,102,,134,10.1016/j.jcou.2014.12.001,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85027920774&partnerID=40&md5=1f2fa8a97fc285555bd4a91041ab0abe",Review,Open Access,Scopus,2-s2.0-85027920774
"Molod, A., Takacs, L., Suarez, M., Bacmeister, J.","Development of the GEOS-5 atmospheric general circulation model: Evolution from MERRA to MERRA2",2015,"Geoscientific Model Development",8,5,,1339,1356,,125,10.5194/gmd-8-1339-2015,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84929167850&partnerID=40&md5=4f5e17e51768d5c898c6214ff88e94a1",Article,Open Access,Scopus,2-s2.0-84929167850
"Sitch, S., Friedlingstein, P., Gruber, N., Jones, S.D., Murray-Tortarolo, G., Ahlström, A., Doney, S.C., Graven, H., Heinze, C., Huntingford, C., Levis, S., Levy, P.E., Lomas, M., Poulter, B., Viovy, N., Zaehle, S., Zeng, N., Arneth, A., Bonan, G., Bopp, L., Canadell, J.G., Chevallier, F., Ciais, P., Ellis, R., Gloor, M., Peylin, P., Piao, S.L., Le Quéré, C., Smith, B., Zhu, Z., Myneni, R.","Recent trends and drivers of regional sources and sinks of carbon dioxide",2015,"Biogeosciences",12,3,,653,679,,123,10.5194/bg-12-653-2015,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84922330924&partnerID=40&md5=f7ea80a3f195b429522c486c1b1b713e",Article,Open Access,Scopus,2-s2.0-84922330924
"Balsamo, G., Albergel, C., Beljaars, A., Boussetta, S., Brun, E., Cloke, H., Dee, D., Dutra, E., Munõz-Sabater, J., Pappenberger, F., De Rosnay, P., Stockdale, T., Vitart, F.","ERA-Interim/Land: A global land surface reanalysis data set",2015,"Hydrology and Earth System Sciences",19,1,,389,407,,123,10.5194/hess-19-389-2015,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84921492677&partnerID=40&md5=65f6da06ed4e75f05411d83bdaff43ec",Article,Open Access,Scopus,2-s2.0-84921492677
"Neumann, B., Vafeidis, A.T., Zimmermann, J., Nicholls, R.J.","Future coastal population growth and exposure to sea-level rise and coastal flooding - A global assessment",2015,"PLoS ONE",10,3,,,,,120,10.1371/journal.pone.0118571,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84924597611&partnerID=40&md5=da8bae1b6e3d6d2940a4e97e9f83355b",Article,Open Access,Scopus,2-s2.0-84924597611
