Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Access Type,Source,EID
"Pollard, D., DeConto, R.M., Alley, R.B.","Potential Antarctic Ice Sheet retreat driven by hydrofracturing and ice cliff failure",2015,"Earth and Planetary Science Letters",412,,,112,121,,104,10.1016/j.epsl.2014.12.035,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84920895243&partnerID=40&md5=1d46a6a0bbd008ee282bb12930788eb8",Article,Open Access,Scopus,2-s2.0-84920895243
"Abbaspour, K.C., Rouholahnejad, E., Vaghefi, S., Srinivasan, R., Yang, H., Kløve, B.","A continental-scale hydrology and water quality model for Europe: Calibration and uncertainty of a high-resolution large-scale SWAT model",2015,"Journal of Hydrology",524,,,733,752,,101,10.1016/j.jhydrol.2015.03.027,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84929142366&partnerID=40&md5=129677ddaddeca4402dc8dfdc240e4c5",Article,Open Access,Scopus,2-s2.0-84929142366
"Sandifer, P.A., Sutton-Grier, A.E., Ward, B.P.","Exploring connections among nature, biodiversity, ecosystem services, and human health and well-being: Opportunities to enhance health and biodiversity conservation",2015,"Ecosystem Services",12,,,1,15,,98,10.1016/j.ecoser.2014.12.007,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84920874549&partnerID=40&md5=e2afb2138f23c0bbdeb50dde843f2da0",Review,Open Access,Scopus,2-s2.0-84920874549
"Monks, P.S., Archibald, A.T., Colette, A., Cooper, O., Coyle, M., Derwent, R., Fowler, D., Granier, C., Law, K.S., Mills, G.E., Stevenson, D.S., Tarasova, O., Thouret, V., Von Schneidemesser, E., Sommariva, R., Wild, O., Williams, M.L.","Tropospheric ozone and its precursors from the urban to the global scale from air quality to short-lived climate forcer",2015,"Atmospheric Chemistry and Physics",15,15,,8889,8973,,96,10.5194/acp-15-8889-2015,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84949116173&partnerID=40&md5=c196e002289d47fdc7f6db674ef39d33",Review,Open Access,Scopus,2-s2.0-84949116173
"Fuzzi, S., Baltensperger, U., Carslaw, K., Decesari, S., Denier Van Der Gon, H., Facchini, M.C., Fowler, D., Koren, I., Langford, B., Lohmann, U., Nemitz, E., Pandis, S., Riipinen, I., Rudich, Y., Schaap, M., Slowik, J.G., Spracklen, D.V., Vignati, E., Wild, M., Williams, M., Gilardoni, S.","Particulate matter, air quality and climate: Lessons learned and future needs",2015,"Atmospheric Chemistry and Physics",15,14,,8217,8299,,95,10.5194/acp-15-8217-2015,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84923022696&partnerID=40&md5=9a79fbb6d8fcad4e4ad90379c022d10a",Review,Open Access,Scopus,2-s2.0-84923022696
"Sanz-Pérez, E.S., Murdock, C.R., Didas, S.A., Jones, C.W.","Direct Capture of CO<inf>2</inf> from Ambient Air",2016,"Chemical Reviews",116,19,,11840,11876,,93,10.1021/acs.chemrev.6b00173,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84991738067&partnerID=40&md5=95b6b32144f436eb66fd9155ba23dfec",Review,Open Access,Scopus,2-s2.0-84991738067
"Prein, A.F., Langhans, W., Fosser, G., Ferrone, A., Ban, N., Goergen, K., Keller, M., Tölle, M., Gutjahr, O., Feser, F., Brisson, E., Kollet, S., Schmidli, J., Van Lipzig, N.P.M., Leung, R.","A review on regional convection-permitting climate modeling: Demonstrations, prospects, and challenges",2015,"Reviews of Geophysics",53,2,,323,361,,92,10.1002/2014RG000475,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84937516623&partnerID=40&md5=8ab1973966ce5aa6edb2370658e15097",Review,Open Access,Scopus,2-s2.0-84937516623
"Shrivastava, P., Kumar, R.","Soil salinity: A serious environmental issue and plant growth promoting bacteria as one of the tools for its alleviation",2015,"Saudi Journal of Biological Sciences",22,2,,123,131,,92,10.1016/j.sjbs.2014.12.001,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84923108307&partnerID=40&md5=1594674b38642e0e1d4e7ac84d3194d0",Review,Open Access,Scopus,2-s2.0-84923108307
"Theobald, E.J., Ettinger, A.K., Burgess, H.K., DeBey, L.B., Schmidt, N.R., Froehlich, H.E., Wagner, C., HilleRisLambers, J., Tewksbury, J., Harsch, M.A., Parrish, J.K.","Global change and local solutions: Tapping the unrealized potential of citizen science for biodiversity research",2015,"Biological Conservation",181,,,236,244,,90,10.1016/j.biocon.2014.10.021,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84949114840&partnerID=40&md5=eb603f830e8895c47f11e3f672e3642a",Article,Open Access,Scopus,2-s2.0-84949114840
"Eyring, V., Bony, S., Meehl, G.A., Senior, C.A., Stevens, B., Stouffer, R.J., Taylor, K.E.","Overview of the Coupled Model Intercomparison Project Phase 6 (CMIP6) experimental design and organization",2016,"Geoscientific Model Development",9,5,,1937,1958,,88,10.5194/gmd-9-1937-2016,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84971573152&partnerID=40&md5=7bfb749a3324a5b7f7b8ec4a4518cd92",Article,Open Access,Scopus,2-s2.0-84971573152
"Riahi, K., Kriegler, E., Johnson, N., Bertram, C., den Elzen, M., Eom, J., Schaeffer, M., Edmonds, J., Isaac, M., Krey, V., Longden, T., Luderer, G., Méjean, A., McCollum, D.L., Mima, S., Turton, H., van Vuuren, D.P., Wada, K., Bosetti, V., Capros, P., Criqui, P., Hamdi-Cherif, M., Kainuma, M., Edenhofer, O.","Locked into Copenhagen pledges - Implications of short-term emission targets for the cost and feasibility of long-term climate goals",2015,"Technological Forecasting and Social Change",90,PA,,8,23,,88,10.1016/j.techfore.2013.09.016,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84916923549&partnerID=40&md5=4f0d32811f75db5a744176409ca9df2e",Article,Open Access,Scopus,2-s2.0-84916923549
"Frederiks, E.R., Stenner, K., Hobman, E.V.","Household energy use: Applying behavioural economics to understand consumer decision-making and behaviour",2015,"Renewable and Sustainable Energy Reviews",41,,,1385,1394,,84,10.1016/j.rser.2014.09.026,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84908409001&partnerID=40&md5=997ae22dd652309994246c3d17c3d5e8",Article,Open Access,Scopus,2-s2.0-84908409001
"Jiang, X., Waliser, D.E., Xavier, P.K., Petch, J., Klingaman, N.P., Woolnough, S.J., Guan, B., Bellon, G., Crueger, T., DeMott, C., Hannay, C., Lin, H., Hu, W., Kim, D., Lappen, C.-L., Lu, M.-M., Ma, H.-Y., Miyakawa, T., Ridout, J.A., Schubert, S.D., Scinocca, J., Seo, K.-H., Shindo, E., Song, X., Stan, C., Tseng, W.-L., Wang, W., Wu, T., Wu, X., Wyser, K., Zhang, G.J., Zhu, H.","Vertical structure and physical processes of the madden-julian oscillation: Exploring key model physics in climate simulations",2015,"Journal of Geophysical Research",120,10,,4718,4748,,77,10.1002/2014JD022375,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84932193909&partnerID=40&md5=c6be7fb65d0ceb8e7bc4b505431e7575",Article,Open Access,Scopus,2-s2.0-84932193909
"Drinovec, L., Močnik, G., Zotter, P., Prévôt, A.S.H., Ruckstuhl, C., Coz, E., Rupakheti, M., Sciare, J., Müller, T., Wiedensohler, A., Hansen, A.D.A.","The ""dual-spot"" Aethalometer: An improved measurement of aerosol black carbon with real-time loading compensation",2015,"Atmospheric Measurement Techniques",8,5,,1965,1979,,75,10.5194/amt-8-1965-2015,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84928966481&partnerID=40&md5=76e0a699046ecbf5134c91bd0908bc51",Article,Open Access,Scopus,2-s2.0-84928966481
"Sorrell, S.","Reducing energy demand: A review of issues, challenges and approaches",2015,"Renewable and Sustainable Energy Reviews",47,,,74,82,,74,10.1016/j.rser.2015.03.002,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84925310823&partnerID=40&md5=7aeec71ef3341ce82e05e4a7c605f6d0",Article,Open Access,Scopus,2-s2.0-84925310823
"Saunois, M., Bousquet, P., Poulter, B., Peregon, A., Ciais, P., Canadell, J.G., Dlugokencky, E.J., Etiope, G., Bastviken, D., Houweling, S., Janssens-Maenhout, G., Tubiello, F.N., Castaldi, S., Jackson, R.B., Alexe, M., Arora, V.K., Beerling, D.J., Bergamaschi, P., Blake, D.R., Brailsford, G., Brovkin, V., Bruhwiler, L., Crevoisier, C., Crill, P., Covey, K., Curry, C., Frankenberg, C., Gedney, N., Höglund-Isaksson, L., Ishizawa, M., Ito, A., Joos, F., Kim, H.-S., Kleinen, T., Krummel, P., Lamarque, J.-F., Langenfelds, R., Locatelli, R., Machida, T., Maksyutov, S., McDonald, K.C., Marshall, J., Melton, J.R., Morino, I., Naik, V., O'Doherty, S., Parmentier, F.-J.W., Patra, P.K., Peng, C., Peng, S., Peters, G.P., Pison, I., Prigent, C., Prinn, R., Ramonet, M., Riley, W.J., Saito, M., Santini, M., Schroeder, R., Simpson, I.J., Spahni, R., Steele, P., Takizawa, A., Thornton, B.F., Tian, H., Tohjima, Y., Viovy, N., Voulgarakis, A., Van Weele, M., Van Der Werf, G.R., Weiss, R., Wiedinmyer, C., Wilton, D.J., Wiltshire, A., Worthy, D., Wunch, D., Xu, X., Yoshida, Y., Zhang, B., Zhang, Z., Zhu, Q.","The global methane budget 2000-2012",2016,"Earth System Science Data",8,2,,697,751,,71,10.5194/essd-8-697-2016,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85006341895&partnerID=40&md5=f3e38a5a99f3c9e59ae9db50e30fda99",Article,Open Access,Scopus,2-s2.0-85006341895
"Hatfield, J.L., Prueger, J.H.","Temperature extremes: Effect on plant growth and development",2015,"Weather and Climate Extremes",10,,,4,10,,70,10.1016/j.wace.2015.08.001,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84949318465&partnerID=40&md5=f088f6c43b7436f5cbc6f00663713e25",Article,Open Access,Scopus,2-s2.0-84949318465
"Lindsay, R., Schweiger, A.","Arctic sea ice thickness loss determined using subsurface, aircraft, and satellite observations",2015,"Cryosphere",9,1,,269,283,,70,10.5194/tc-9-269-2015,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84922616099&partnerID=40&md5=198060bcb138a22bda47879e1d44121e",Article,Open Access,Scopus,2-s2.0-84922616099
"Hansen, J., Sato, M., Hearty, P., Ruedy, R., Kelley, M., Masson-Delmotte, V., Russell, G., Tselioudis, G., Cao, J., Rignot, E., Velicogna, I., Tormey, B., Donovan, B., Kandiano, E., Von Schuckmann, K., Kharecha, P., Legrande, A.N., Bauer, M.","Ice melt, sea level rise and superstorms: Evidence from paleoclimate data, climate modeling, and modern observations that 2 °c global warming could be dangerous",2016,"Atmospheric Chemistry and Physics",16,6,,3761,3812,,69,10.5194/acp-16-3761-2016,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84961912334&partnerID=40&md5=e7646b9eeb45efba815f39c0f9b4fa80",Article,Open Access,Scopus,2-s2.0-84961912334
"De Gracia, A., Cabeza, L.F.","Phase change materials and thermal energy storage for buildings",2015,"Energy and Buildings",103,,,414,419,,69,10.1016/j.enbuild.2015.06.007,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84941023182&partnerID=40&md5=d0c972bdf1de354ebb11cda66b1fed59",Review,Open Access,Scopus,2-s2.0-84941023182
"Stohl, A., Aamaas, B., Amann, M., Baker, L.H., Bellouin, N., Berntsen, T.K., Boucher, O., Cherian, R., Collins, W., Daskalakis, N., Dusinska, M., Eckhardt, S., Fuglestvedt, J.S., Harju, M., Heyes, C., Hodnebrog, Ø., Hao, J., Im, U., Kanakidou, M., Klimont, Z., Kupiainen, K., Law, K.S., Lund, M.T., Maas, R., MacIntosh, C.R., Myhre, G., Myriokefalitakis, S., Olivié, D., Quaas, J., Quennehen, B., Raut, J.-C., Rumbold, S.T., Samset, B.H., Schulz, M., Seland, Ø., Shine, K.P., Skeie, R.B., Wang, S., Yttri, K.E., Zhu, T.","Evaluating the climate and air quality impacts of short-lived pollutants",2015,"Atmospheric Chemistry and Physics",15,18,,10529,10566,,64,10.5194/acp-15-10529-2015,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84937779992&partnerID=40&md5=14318f10da7758a535f3da61bdfecf90",Article,Open Access,Scopus,2-s2.0-84937779992
"Van Linden, S.L.D., Leiserowitz, A.A., Feinberg, G.D., Maibach, E.W.","The scientific consensus on climate change as a gateway belief: Experimental evidence",2015,"PLoS ONE",10,2, e0118489,,,,64,10.1371/journal.pone.0118489,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84923876518&partnerID=40&md5=26b7e0ee41e4c960607e69c1287623f5",Article,Open Access,Scopus,2-s2.0-84923876518
"Alfieri, L., Burek, P., Feyen, L., Forzieri, G.","Global warming increases the frequency of river floods in Europe",2015,"Hydrology and Earth System Sciences",19,5,,2247,2260,,63,10.5194/hess-19-2247-2015,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84929192619&partnerID=40&md5=1b9f02396f211c5bdf48c9e741cfda94",Article,Open Access,Scopus,2-s2.0-84929192619
"Kriegler, E., Riahi, K., Bauer, N., Schwanitz, V.J., Petermann, N., Bosetti, V., Marcucci, A., Otto, S., Paroussos, L., Rao, S., Arroyo Currás, T., Ashina, S., Bollen, J., Eom, J., Hamdi-Cherif, M., Longden, T., Kitous, A., Méjean, A., Sano, F., Schaeffer, M., Wada, K., Capros, P., P. van Vuuren, D., Edenhofer, O.","Making or breaking climate targets: The AMPERE study on staged accession scenarios for climate policy",2015,"Technological Forecasting and Social Change",90,PA,,24,44,,61,10.1016/j.techfore.2013.09.021,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84916891763&partnerID=40&md5=82b91bb56dd141ca23b3ce41273b7562",Article,Open Access,Scopus,2-s2.0-84916891763
"Sosso, G.C., Chen, J., Cox, S.J., Fitzner, M., Pedevilla, P., Zen, A., Michaelides, A.","Crystal Nucleation in Liquids: Open Questions and Future Challenges in Molecular Dynamics Simulations",2016,"Chemical Reviews",116,12,,7078,7116,,58,10.1021/acs.chemrev.5b00744,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84976412557&partnerID=40&md5=05ec82e0bf066f799c7a1634d26ed0a9",Review,Open Access,Scopus,2-s2.0-84976412557
"Csiki-Sava, Z., Buffetaut, E., Ősi, A., Pereda-Suberbiola, X., Brusatte, S.L.","Island life in the Cretaceous - Faunal composition, biogeography, evolution, and extinction of landliving vertebrates on the Late Cretaceous European archipelago",2015,"ZooKeys",,469,,1,161,,58,10.3897/zookeys.469.8439,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84921985570&partnerID=40&md5=710f32f5b925cce4455410219b184a19",Review,Open Access,Scopus,2-s2.0-84921985570
"Cook, J., Oreskes, N., Doran, P.T., Anderegg, W.R.L., Verheggen, B., Maibach, E.W., Carlton, J.S., Lewandowsky, S., Skuce, A.G., Green, S.A., Nuccitelli, D., Jacobs, P., Richardson, M., Winkler, B., Painting, R., Rice, K.","Consensus on consensus: A synthesis of consensus estimates on human-caused global warming",2016,"Environmental Research Letters",11,4, 048002,,,,56,10.1088/1748-9326/11/4/048002,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84964691648&partnerID=40&md5=188d95bd4f54369efe70918011d03e4a",Article,Open Access,Scopus,2-s2.0-84964691648
"Tierney, J.E., Abram, N.J., Anchukaitis, K.J., Evans, M.N., Giry, C., Kilbourne, K.H., Saenger, C.P., Wu, H.C., Zinke, J.","Tropical sea surface temperatures for the past four centuries reconstructed from coral archives",2015,"Paleoceanography",30,3,,226,252,,56,10.1002/2014PA002717,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85027956254&partnerID=40&md5=2d7a69da0bfd78a014ac9e8a7223ca56",Article,Open Access,Scopus,2-s2.0-85027956254
"Schleussner, C.-F., Lissner, T.K., Fischer, E.M., Wohland, J., Perrette, M., Golly, A., Rogelj, J., Childers, K., Schewe, J., Frieler, K., Mengel, M., Hare, W., Schaeffer, M.","Differential climate impacts for policy-relevant limits to global warming: The case of 1.5 °c and 2 °c",2016,"Earth System Dynamics",7,2,,327,351,,55,10.5194/esd-7-327-2016,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84966340590&partnerID=40&md5=a765885652a946720a502ee8e7067f55",Article,Open Access,Scopus,2-s2.0-84966340590
"Carter, J.G., Cavan, G., Connelly, A., Guy, S., Handley, J., Kazmierczak, A.","Climate change and the city: Building capacity for urban adaptation",2015,"Progress in Planning",95,,,1,66,,55,10.1016/j.progress.2013.08.001,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84919615325&partnerID=40&md5=7a42c80058a27fa7c94479701fc49f29",Article,Open Access,Scopus,2-s2.0-84919615325
"Luterbacher, J., Werner, J.P., Smerdon, J.E., Fernández-Donado, L., González-Rouco, F.J., Barriopedro, D., Ljungqvist, F.C., Büntgen, U., Zorita, E., Wagner, S., Esper, J., McCarroll, D., Toreti, A., Frank, D., Jungclaus, J.H., Barriendos, M., Bertolin, C., Bothe, O., Brázdil, R., Camuffo, D., Dobrovolný, P., Gagen, M., García-Bustamante, E., Ge, Q., Gómez-Navarro, J.J., Guiot, J., Hao, Z., Hegerl, G.C., Holmgren, K., Klimenko, V.V., Martín-Chivelet, J., Pfister, C., Roberts, N., Schindler, A., Schurer, A., Solomina, O., Von Gunten, L., Wahl, E., Wanner, H., Wetter, O., Xoplaki, E., Yuan, N., Zanchettin, D., Zhang, H., Zerefos, C.","European summer temperatures since Roman times",2016,"Environmental Research Letters",11,2, 024001,,,,51,10.1088/1748-9326/11/2/024001,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84959421909&partnerID=40&md5=a5504e5050e3d1cbe91e23bc1c9445fa",Article,Open Access,Scopus,2-s2.0-84959421909
"Payn, T., Carnus, J.-M., Freer-Smith, P., Kimberley, M., Kollert, W., Liu, S., Orazio, C., Rodriguez, L., Silva, L.N., Wingfield, M.J.","Changes in planted forests and future global implications",2015,"Forest Ecology and Management",352,,,57,67,,51,10.1016/j.foreco.2015.06.021,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84941070424&partnerID=40&md5=9dda8b7a0b885626a0cbe1fc74beee16",Article,Open Access,Scopus,2-s2.0-84941070424
"Anav, A., Friedlingstein, P., Beer, C., Ciais, P., Harper, A., Jones, C., Murray-Tortarolo, G., Papale, D., Parazoo, N.C., Peylin, P., Piao, S., Sitch, S., Viovy, N., Wiltshire, A., Zhao, M.","Spatiotemporal patterns of terrestrial gross primary production: A review",2015,"Reviews of Geophysics",53,3,,785,818,,51,10.1002/2015RG000483,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84945437752&partnerID=40&md5=2f215c5fe6cfedfa813f6f49b84a9f6e",Review,Open Access,Scopus,2-s2.0-84945437752
"Williams, K.D., Harris, C.M., Bodas-Salcedo, A., Camp, J., Comer, R.E., Copsey, D., Fereday, D., Graham, T., Hill, R., Hinton, T., Hyder, P., Ineson, S., Masato, G., Milton, S.F., Roberts, M.J., Rowell, D.P., Sanchez, C., Shelly, A., Sinha, B., Walters, D.N., West, A., Woollings, T., Xavier, P.K.","The Met Office Global Coupled model 2.0 (GC2) configuration",2015,"Geoscientific Model Development",8,5,,1509,1524,,51,10.5194/gmd-8-1509-2015,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84930211380&partnerID=40&md5=18f57ab2c6dba8992b2b5b17ec6d629c",Article,Open Access,Scopus,2-s2.0-84930211380
